"Account breadcrumbs","Breadcrumbs pentru cont"
"AnaisIT Extensions","AnaisIT Extensions"
"Settings","Setari"
"Enable for all available pages","Activeaza pentru toate paginile"
"Account Login Page","Pagina logare cont"
"Forgot Password Page","Pagina 'Am uitat parola'"
"Account Dashboard Page","Prima pagina a contului"
"Register Page","Pagina de creare cont"
"Account Information Page","Pagina cu informatii despre cont"
"Address Book Page","Pagina cu lista de adrese"
"Address Book  Page - Add/Edit Address","Pagina cu lista de adrese - Adaugare/Editare adresa"
"Order History Page","Pagina Istoric comenzi"
"Order Details Page","Pagina detalii comanda"
"Order Invoices Page","Pagina facturi"
"Order Shipments Page","Pagina livrari"
"Order Creditmemos Page","Pagina pentru facturi stornate"
"Billing Agreements Page","Acordurile de facturare"
"Recurring Profile Page","Pagina profile recurente"
"Customer Reviews Page","Pagina cu recenzii"
"Customer Review Details Page","Pagina cu detalii despre recenzie"
"Customer Tags Page","Pagina cu taguri pentru client"
"Customer Tag Details Page","Pagina detalii tag"
"My Downloadable Products Page","Pagina produse descarcabile"
"Wishlist Page","Pagina produse salvate (wishlist)"
"Newsletter Subscription Page","Pagina de abonare la newsletter"