"Enable LightBox","Benutze LightBox"
"Maximum size of big image","Hohste gr&ouml;&szlig;e vom gro&szlig;en Bild"
"Maximum size of base image","Hohste gr&ouml;&szlig;e vom Hauptbild"
"Maximum size of thumbnails","Hohste gr&ouml;&szlig;e vom Thumbnail"
"Effects","Effekte"
"Fade-in duration","Dauer fade-in"
"Fade-out duration","Dauer fade-out"
"Image swap duration","Dauer vom Bild Veränderung"
"Display","Aussehen"
"General","Allgemeine Einstellungen"
"Background opacity","Hintergrund Transparenz"
"Background color","Hintergrundfarbe"
"Imagebox opacity","Transparenz vom Rahmen"
"Imagebox color","Farbe vom Rahmen"
"Toolbar opacity","Transparenz von der Symbolleiste"
"Toolbar color","Farbe von der Symbolleiste"
"Toolbar text color","Farbe des Textes von der Symbolleiste"
"Toolbar text font","Schriftart der Symbolleiste"
"Toolbar text size","Gr&ouml;&szlig;e des Textes von der Symbolleiste"
"Padding size","Rahmenrand"
"Outer border size","Dicke der au&szlig;eren Linee"
"Outer border color","Farbe der au&szlig;eren Linee"
"Size in pixels (e.g.: 800x600)","Gr&ouml;&szlig;e in pixel (z.B.: 800x600)"
"Size in pixels (e.g.: 256x256)","Gr&ouml;&szlig;e in pixel (z.B.: 256x256)"
"Size in pixels (e.g.: 60x60)","Gr&ouml;&szlig;e in pixel (z.B.: 60x60)"
"Value between 0.0 and 1.0","Von 0.0 bis 1.0"
"HTML color format (e.g.: #000000)","Format HTML (z.B.: #000000)"
"HTML color format (e.g.: #909090)","Format HTML (z.B.: #909090)"
"Text size in pixels (e.g.: 12)","Textgr&ouml;&szlig;e in pixel (z.B.: 12)"
"Size in pixels (e.g.: 10)","Gr&ouml;&szlig;e in pixel (z.B.: 10)"
"Size in pixels (e.g.: 1)","Gr&ouml;&szlig;e in pixel (z.B.: 1)"
"Font name (e.g.: Verdana)","Schriftartname (z.B.: Verdana)"
"Value in seconds (e.g.: 1.5)","Ma&szlig; in Sekunden (z.B.: 1.5)"